ID,PROPERTY ADDRESS,SUBMISSION DATE,OWNER NAME,OWNER DATE,OWNER MANAGEMENT AGENT NAME,OWNER NOTICES AGENT NAME,OWNER NOTICES AGENT PHONE,OWNER NOTICES AGENT EMAIL,OWNER ADDRESS,OWNER CITY,OWNER STATE,OWNER ZIP,OWNER MANAGEMENT AGENT ADDRESS,OWNER MANAGEMENT AGENT CITY,OWNER MANAGEMENT AGENT STATE,OWNER MANAGEMENT AGENT ZIP,LOCATION
448533,1107 W Lawrence Av,08/08/2022,Freddie Mac,06/08/2022,ODonnell Partners Inc,Julian Taylor,(847) 674-4445,jtaylor7923@gmail.com,1107 W Lawrence Av,Chicago,IL,,1107 W Lawrence Av,Chicago,IL,,POINT (-87.65793164805889 41.96893838886728)
318384,1110 N Massasoit Av,05/18/2022,US Bank National Association,04/29/2022,Victoria Ortiz,Victoria Ortiz,(312) 476-5754,victoria.ortiz@mccalla.com,1 N Dearborn St,Chicago,IL,,1 N Dearborn St,Chicago,IL,,POINT (-87.76939108891686 41.900638801101245)
132550,1114 W 90th St,01/28/2022,CIM REO 2021-NR1 LLC,12/01/2021,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,1114 W 90th St,Chicago,IL,,1114 W 90th St,Chicago,IL,,POINT (-87.65145756963612 41.73059789572203)
142009,1114 W 90th St,02/10/2022,CIM REO 2021-NR1 LLC,12/01/2021,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,1114 W 90th St,Chicago,IL,,1114 W 90th St,Chicago,IL,,POINT (-87.65145756963612 41.73059789572203)
324741,11212 S Stewart Av,05/24/2022,Federal National Mortgage Association,04/27/2022,Pearson Realty Group,Pearson Realty Group,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 N Milwaukee Av,Chicago,IL,,POINT (-87.63281264827069 41.69023105630035)
201854,11355 S Forest Av,04/14/2022,Fannie Mae,03/30/0022,Domain Realty,Domain Realty,(773) 235-9150,aw@domainreo.com,1 S Wacker Dr,Chicago,IL,,2054 N California Av,Chicago,IL,,POINT (-87.61550729071557 41.68753040907656)
500505,11358 S Throop St,10/27/2022,Federal National Mortgage Association,10/06/2022,Pearson Realty Group,Pearson Realty Group,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 S Milwaukee Av,Chicago,IL,,POINT (-87.65451529320337 41.686806670993874)
420688,114 W 109th Pl,07/18/2022,Federal National Mortgage Association,07/08/2022,Pearson Realty Group,Pearson Realty Group,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 N Milwaukee Av,Chicago,IL,,POINT (-87.62621723687867 41.6953913645117)
144126,11433 S Stewart Av,02/14/2022,Federal National Mortgage Association,02/07/2022,Pearson Realty Group,Pearson Realty Group,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 N Milwaukee Av,Chicago,IL,,POINT (-87.6323634425294 41.68603106297152)
327846,11439 S Harvard Av,05/27/2022,"JP MORGAN CHASE BANK, NATIONAL ASSOCIATION",04/15/2022,"RYAN SMITH, AGENT","Ira T. Nevel, LLC",(312) 357-1125,pleadings@nevellaw.com,175 N Franklin St,Chicago,IL,,175 N Franklin St,Chicago,IL,,POINT (-87.631155862806 41.68587855976029)
409468,11532 S Elizabeth St,07/11/2022,PennyMac c/o Law Offices of Ira T. Nevel LLC,05/19/2022,"LAW OFFICES OF IRA T. NEVEL, LCC","LAW OFFICES OF IRA T. NEVEL, LLC",(312) 357-1125,pleadings@nevellaw.com,175 N Franklin St,Chicago,IL,,175 N Franklin St,Chicago,IL,,POINT (-87.653207008418 41.68393879865453)
145242,11709 S Artesian Av,02/15/2022,"U.S. Bank, N.A., successor trustee to LaSalle Bank National",10/18/2021,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,11709 S Artesian Av,Chicago,IL,,11709 S Artesian Av,Chicago,IL,,POINT (-87.68188528452923 41.680589256533594)
405144,1220 W 71st St,07/06/2022,Federal National Mortgage Association,06/24/2022,Pearson Realty Group,Pearson Realty Group,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 N Milwaukee Av,Chicago,IL,,POINT (-87.65501918121501 41.76515102836389)
452794,12239 S Parnell Av,08/15/2022,Federal National Mortgage Association,07/20/2022,Pearson Realty Group,Pearson Realty Group,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 N Milwaukee Av,Chicago,IL,,POINT (-87.63553350452163 41.671257508890264)
515670,130 N Garland Ct,12/03/2022,"HSBC Bank USA, National Association, as Trustee, in trust fo",04/11/2022,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,130 N Garland Ct,Chicago,IL,,130 N Garland Ct,Chicago,IL,,POINT (-87.62549035135513 41.88400173509807)
492339,1308 N Waller Av,10/12/2022,"U.S. Bank NA, as successor trustee to Bank of America NA, su",04/25/2022,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,1308 N Waller Av,Chicago,IL,,1308 N Waller Av,Chicago,IL,,POINT (-87.76830233361092 41.90423040613698)
400443,13116 S Rhodes Av,06/30/2022,"Wilmington Trust, NA, successor trustee to Citibank, N.A., a",05/03/2022,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,13116 S Rhodes Av,Chicago,IL,,13116 S Rhodes Av,Chicago,IL,,POINT (-87.6097770667331 41.65688430663115)
310883,1321 N Mayfield Av,05/12/2022,US Bank National Association,04/22/2022,Victoria Ortiz,Victoria Ortiz,(312) 476-5754,victoria.ortiz@mccalla.com,1 N Dearborn St,Chicago,IL,,1 N Dearborn St,Chicago,IL,,POINT (-87.77287062143839 41.90450302797343)
442244,1347 W Garfield Bv,08/02/2022,Federal National Mortgage Association,07/22/2022,Pearson Realty Group,Pearson Realty Group,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 N Milwaukee Av,Chicago,IL,,POINT (-87.65915312997673 41.79362628245786)
353157,1462 W 114th Pl,06/13/2022,US Bank National Association,05/23/2022,Victoria Ortiz,Victoria Ortiz,(312) 476-5754,victoria.ortiz@mccalla.com,1 N Dearborn St,Chicago,IL,,1 N Dearborn St,Chicago,IL,,POINT (-87.65920672932607 41.685871856591234)
503264,147 E 118th Pl,11/03/2022,Federal National Mortgage Association,10/17/2022,Pearson Realty Group,Pearson Realty Group,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 N Milwaukee Av,Chicago,IL,,POINT (-87.61866274933604 41.67888937904987)
189896,1649 W 21st St,04/06/2022,Federal National Mortgage Association,03/29/2022,Pearson Realty Group,Pearson,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 N Milwaukee Av,Chicago,IL,,POINT (-87.66809802297665 41.854004001746446)
118347,17 E 120th St,01/07/2022,U.S. Bank National Association,12/20/2021,US Bank National Association,McCalla Raymer Liebert Pierce LLC,(312) 346-9088,pleadings@mccalla.com,1 N Dearborn St,Chicago,IL,,1 N Dearborn St,Chicago,IL,,POINT (-87.62187666975736 41.676101746458166)
70478,1741 W 75th Pl,11/03/2021,First-Citizens Bank and Trust,10/05/2021,First-Citizens Bank,"IRA T. NEVEL, LLC",(312) 357-1125,pleadings@nevellaw.com,175 N Franklin St,Chicago,IL,,175 N Franklin St,Chicago,IL,,POINT (-87.66764533188416 41.756952034355706)
431580,1807 S Troy St,07/22/2022,"Towd Point Mortgage Trust 2018-2, U.S. Bank National Associa",04/25/2022,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,1807 S Troy St,Chicago,IL,,1807 S Troy St,Chicago,IL,,POINT (-87.7040420754889 41.856947156179416)
141574,1819 W 33rd St,02/09/2022,"Wilmington Trust, National Association not in its individual",12/06/2021,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,1819 W 33rd St,Chicago,IL,,1819 W 33rd St,Chicago,IL,,POINT (-87.67137466763799 41.833977778461424)
491424,1911 W Garfield Bv,10/10/2022,Federal National Mortgage Association,09/26/2022,Pearson Realty Group,Pearson Realty Group,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 N Milwaukee Av,Chicago,IL,,POINT (-87.67236759537477 41.79346154748714)
145796,195 N Harbor Dr,02/16/2022,"Wells Fargo Bank, National Association as Trustee for Securi",12/07/2021,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,195 N Harbor Dr,Chicago,IL,,195 N Harbor Dr,Chicago,IL,,POINT (-87.61559960114916 41.8861772805657)
149686,2045 N Kedzie Av,02/23/2022,Federal Home Loan Mortgage Corporation,02/22/2022,Mera Kordic,Mera Kordic,(312) 720-6667,merakordic@hotmail.com,2045 N Kedzie Av,Chicago,IL,,1207 N Dearborn Pw,Chicago,IL,,POINT (-87.70686757040252 41.9186925004258)
157068,2103 E 98th Pl,03/09/2022,CIM REO 2021-NR2 LLC,01/04/2022,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,2103 E 98th Pl,Chicago,IL,,2103 E 98th Pl,Chicago,IL,,POINT (-87.57380952027573 41.716047307953545)
512053,2110 W Cuyler Av,11/25/2022,1368 S. Fairfield LLC,11/26/2022,Anthony Adreani,Anthony Adreani,(847) 302-5179,Doubleajr23@gmail.com,2038 N Fremont St,Chicago,IL,,2038 N Fremont St,Chicago,IL,,POINT (-87.6817128346322 41.955167197047786)
400408,2113 W Cullerton St,06/30/2022,"Wilmington Savings Fund Society, FSB, not in its individual",01/13/2022,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,2113 W Cullerton St,Chicago,IL,,2113 W Cullerton St,Chicago,IL,,POINT (-87.67893288599146 41.854775881944164)
130705,2118 W 69th St,01/26/2022,Federal National Mortgage Association,01/03/2022,Pearson Realty Group,Pearson Realty Group,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 N Milwaukee Av,Chicago,IL,,POINT (-87.6768542050222 41.76851542406288)
350343,2123 W 54th Pl,06/09/2022,Federal National Mortgage Association,06/01/2022,Pearson Realty Group,Pearson Realty Group,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 N Milwaukee Av,Chicago,IL,,POINT (-87.67763328484897 41.79468829939214)
147140,2124 N Mobile Av,02/18/2022,"Wilmington Savings Fund Society, FSB, not in its individual",01/04/2022,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,2124 N Mobile Av,Chicago,IL,,2124 N Mobile Av,Chicago,IL,,POINT (-87.78301257263915 41.91902937117031)
218229,2131 N Merrimac Av,04/26/2022,"Deutsche Bank National Trust Company, as trustee, on behalf",11/29/2021,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,2131 N Merrimac Av,Chicago,IL,,2131 N Merrimac Av,Chicago,IL,,POINT (-87.78150043383515 41.91921178718459)
112183,2224 W 81st St,12/28/2021,CVI CGS Mortgage Loan Trust I/ c/o Fay Servicing LLC,12/14/2021,Anthony Hall-Agent,"IRA T. NEVEL, LLC",(312) 357-1125,pleadings@nevellaw.com,440 S La Salle St,Chicago,IL,,440 S La Salle St,Chicago,IL,,POINT (-87.67906315136682 41.746638898236)
468961,2244 S Drake Av,09/02/2022,CVI LCF Mortgage Loan Trust I c/o Fay Servicing,08/22/2022,Fay Servicing,"Ira T. Nevel, LLC",(312) 357-1125,pleadings@nevellaw.com,440 S La Salle St,Chicago,IL,,440 S La Salle St,Chicago,IL,,POINT (-87.71388577291174 41.850367412922076)
447154,2248 W 80th St,08/05/2022,U.S. Bank National Association (as successor-in-interest to,06/06/2022,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,2248 W 80th St,Chicago,IL,,2248 W 80th St,Chicago,IL,,POINT (-87.67999446080226 41.74843960352864)
438211,2322 N Austin Av,07/29/2022,"Wells Fargo Bank, N.A., as Trustee for the WaMu Mortgage Pas",05/24/2022,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,2322 N Austin Av,Chicago,IL,,2322 N Austin Av,Chicago,IL,,POINT (-87.77582328920862 41.922685151464485)
145056,233 E Erie St,02/15/2022,Fannie Mae,01/05/2022,Domain Realty,Domain Realty,(773) 235-9150,aw@domainreo.com,1 S Wacker Dr,Chicago,IL,,2054 N California Av,Chicago,IL,,POINT (-87.62139584024656 41.89406316257156)
162317,2457 N Mango Av,03/18/2022,"The Bank of New York Mellon, successor to The Bank of New Yo",12/09/2021,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,2457 N Mango Av,Chicago,IL,,2457 N Mango Av,Chicago,IL,,POINT (-87.76954948903641 41.92560120101702)
255536,2607 N Hamlin Av,04/28/2022,"2PK Designs, LLC",04/25/2022,Robert Metz,Paul Fortman,(773) 987-6056,pfortman@atproperties.com,2607 N Hamlin Av,Chicago,IL,,2823 W Logan Bv,Chicago,IL,,POINT (-87.72184926961953 41.92846419415865)
324871,2701 W 71st St,05/24/2022,"U.S. Bank National Association, as trustee, in trust for Reg",02/22/2022,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,2701 W 71st St,Chicago,IL,,2701 W 71st St,Chicago,IL,,POINT (-87.69064160916491 41.76446656132823)
164424,2718 E 78th St,03/23/2022,"Citibank, N.A., not in its individual capacity but solely as",01/26/2022,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,2718 E 78th St,Chicago,IL,,2718 E 78th St,Chicago,IL,,POINT (-87.55766908225674 41.75376736136161)
141031,2750 S Harding Av,02/08/2022,"DLJ Mortgage Capital, Inc.",12/07/2021,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,2750 S Harding Av,Chicago,IL,,2750 S Harding Av,Chicago,IL,,POINT (-87.7233853402976 41.84090364615338)
500408,2817 N Newland Av,10/27/2022,"Federal Home Loan Mortgage Corporation, as Trustee for the b",08/23/2022,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,2817 N Newland Av,Chicago,IL,,2817 N Newland Av,Chicago,IL,,POINT (-87.79901133255505 41.93135464938708)
480594,301 W 107th Pl,09/21/2022,Federal National Mortgage Association,09/12/2022,Pearson Realty Group,Pearson Realty Group,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 N Milwaukee Av,Chicago,IL,,POINT (-87.63056042542159 41.69876331966665)
351595,3021 S Michigan Av,06/10/2022,"Deutsche Bank National Trust Company, as Trustee, on behalf",04/15/2022,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,321 S Michigan Av,Chicago,IL,,3021 S Michigan Av,Chicago,IL,,POINT (-87.62310704115612 41.83889736923833)
192768,3029 N Keating Av,04/07/2022,A T Partners LLC,03/03/2022,Adan Vargas,Adan Vargas,(773) 251-7240,mariatvargas@aol.com,2919 N Luna Av,Chicago,IL,,2919 N Luna Av,Chicago,IL,,POINT (-87.74535886734793 41.936085906916766)
380137,3217 W Bryn Mawr Av,06/15/2022,"Nationstar Mortgage, LLC",04/14/2022,Consolidated Analytics,Consolidated Analytics,(877) 277-2235,darritt@ca-usa.com,3217 W Bryn Mawr Av,Chicago,IL,,3217 W Bryn Mawr Av,Chicago,IL,,POINT (-87.70959454238817 41.982953990852465)
132619,3226 S Canal St,01/28/2022,"Federal Home Loan Mortgage Corporation, as Trustee for the b",11/30/2021,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,3226 S Canal St,Chicago,IL,,3226 S Canal St,Chicago,IL,,POINT (-87.63783559215108 41.835507091116995)
454849,341 W 108th Pl,08/18/2022,Pearl Davis,02/22/2017,"Carrington Mortgage Services, LLC","Carrington Mortgage Services, LLC",(813) 387-1100,PRSrequest@mcs360.com,341 W 108th Pl,Chicago,IL,,341 W 108th Pl,Chicago,IL,,POINT (-87.63201489522623 41.69692386015448)
430731,3443 N Western Av,07/21/2022,AMIP,07/21/2022,AMIP,SR Realty Group Inc,(847) 878-1610,srounis@srrealtygroup.com,3443 N Western Av,Chicago,IL,,3443 N Western Av,Chicago,IL,,POINT (-87.68804296346262 41.944378200265945)
448571,3656 W Ohio St,08/08/2022,"DEUTSCHE BANK NATIONAL TRUST COMPANY, AS INDENTURE TRUSTEE,",04/25/2022,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,3656 W Ohio St,Chicago,IL,,3656 W Ohio St,Chicago,IL,,POINT (-87.71850150426289 41.89187686016326)
462183,3818 W Maypole Av,08/26/2022,Wilmington c/o Fay Servicing,08/03/2022,"Anthony Disano, Agent",Ira T. Nevel LLC,(312) 357-1125,pleadings@nevellaw.com,440 S La Salle St,Chicago,IL,,440 S La Salle St,Chicago,IL,,POINT (-87.72161007156828 41.884187576831565)
162010,3930 W Gladys Av,03/17/2022,Federal National Mortgage Association,03/09/2022,Pearson Realty Group,Pearson Realty Group,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 N Milwaukee Av,Chicago,IL,,POINT (-87.72433657942767 41.8763020237792)
487597,400 N Avers Av,10/03/2022,"U.S. Bank N.A., as trustee, on behalf of the holders of the",05/03/2022,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,400 N Avers Av,Chicago,IL,,400 N Avers Av,Chicago,IL,,POINT (-87.72235876151976 41.88829070111097)
496491,4016 W 21st Pl,10/19/2022,The Bank of New York Mellon C/O Guardian Asset Management,06/24/2022,"Bishop Property Preservation, LLC - Alexis Bishop",Guardian Asset Management,(888) 872-9094,vpr@guardianassetmgt.com,4016 W 21st Pl,Chicago,IL,,10208 S Indianapolis Av,Chicago,IL,,POINT (-87.72551199928114 41.852685089806144)
320380,4020 S Drexel Bv,05/19/2022,Test Name,05/01/2017,Test Name,Test Name,(123) 456-7890,timi.koyejo@cityofchicago.org,121 N La Salle St,Chicago,IL,,121 N La Salle St,Chicago,IL,,POINT (-87.60553296785545 41.82070664681831)
324217,4020 S Drexel Bv,05/24/2022,NS201 LLC,02/22/2022,Sonya Garnett,Pamela Coville,(585) 356-7813,pcoville@shelvingrock.com,4020 S Drexel Bv,Chicago,IL,,4020 S Drexel Bv,Chicago,IL,,POINT (-87.60553296785545 41.82070664681831)
145240,4037 N Pulaski Rd,02/15/2022,"Wells Fargo Bank, N.A., as Trustee for the WaMu Mortgage Pas",03/03/2020,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,4037 N Pulaski Rd,Chicago,IL,,4037 N Pulaski Rd,Chicago,IL,,POINT (-87.72750186141532 41.95476314238944)
130714,4050 W Maypole Av,01/26/2022,Federal National Mortgage Association,01/07/2022,Pearson Realty Group,Pearson Realty Group,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 N Milwaukee Av,Chicago,IL,,POINT (-87.7278741474133 41.88476398346041)
161334,4111 N Mango Av,03/16/2022,"Towd Point Mortgage Trust 2017-FRE2, U.S. Bank National Asso",01/18/2022,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,4111 N Mango Av,Chicago,IL,,4111 N Mango Av,Chicago,IL,,POINT (-87.770594904693 41.95533641511844)
145738,4168 S Drexel Bv,02/16/2022,"Towd Point Mortgage Trust 2017-3, U.S. Bank National Associa",12/13/2021,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,4168 S Drexel Bv,Chicago,IL,,4168 S Drexel Bv,Chicago,IL,,POINT (-87.60484534007242 41.818334625081974)
112154,420 N Leclaire Av,12/28/2021,US BANK c/o Fay Servicing,12/15/2021,Fay Servicing LLC,"IRA T. NEVEL, LLC",(312) 357-1125,pleadings@nevellaw.com,440 N La Salle St,Chicago,IL,,440 S La Salle St,Chicago,IL,,POINT (-87.75306466657102 41.88847224337233)
350259,4213 W Roscoe St,06/09/2022,Federal National Mortgage Association,05/26/2022,Pearson Realty Group,Pearson Realty Group,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 N Milwaukee Av,Chicago,IL,,POINT (-87.73270214180255 41.94255268574485)
326757,4261 W 76th St,05/26/2022,Federal National Mortgage Association,05/05/2022,Pearson Realty Group,Pearson Realty Group,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 N Milwaukee Av,Chicago,IL,,POINT (-87.72952575896781 41.75490984927185)
309168,4418 W 55th St,05/11/2022,Federal National Mortgage Association,04/26/2022,Pearson Realty Group,Pearson Realty Group,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 N Milwaukee Av,Chicago,IL,,POINT (-87.73379189677705 41.79322331821603)
138259,4501 N Meade Av,02/04/2022,"Federal Home Loan Mortgage Corporation, as Trustee for the b",12/06/2021,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,4501 N Meade Av,Chicago,IL,,4501 N Meade Av,Chicago,IL,,POINT (-87.77937760733973 41.96224651087103)
200042,4533 W Gladys Av,04/12/2022,Federal National Mortgage Association,02/24/2022,Pearson Realty Group,Pearson Realty Group,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 N Milwaukee Av,Chicago,IL,,POINT (-87.73915237252386 41.87589843426671)
135572,4539 S Greenwood Av,02/01/2022,Federal National Mortgage Association,01/03/2022,Pearson Realty Group,Pearson Realty Group,(773) 325-2800,reo@pearsonrealtygroup.com,1 S Wacker Dr,Chicago,IL,,1000 N Milwaukee Av,Chicago,IL,,POINT (-87.59917092470936 41.81209286589052)
165664,4540 N Monitor Av,03/25/2022,FEDERAL HOME MORTGAGE CORP,03/15/2022,ARCENIO SALINAS,ARCENIO SALINAS,(773) 505-9345,arcenio@crosstown-realty.com,1 S Wacker Dr,Chicago,IL,,1 S Wacker Dr,Chicago,IL,,POINT (-87.77359855638773 41.96346344188719)
413216,455 W Saint James Pl,07/15/2022,REO Trust 2021-NR2,04/26/2022,Oakriver Property Management,James Halpin,(312) 263-1414,katie.williams@oakriverpm.com,455 W Saint James Pl,Chicago,IL,,455 W Saint James Pl,Chicago,IL,,POINT (-87.6411960230133 41.927891603189494)
