SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR24-02241547,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,12/12/2024 14:56,12/12/2024 14:57,,10227 S PRINCETON AVE,Chicago,Illinois,60628,10227,S,PRINCETON,AVE,FALSE,FALSE,,,49,9,,P046,1,5,511,10,,14,5,12,1176167.269,1837002.487,41.708097,-87.63048,"(41.708097000939844, -87.6304800000019)"
SR25-00480092,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,3/26/2025 11:34,3/26/2025 11:34,,10238 S GREEN ST,Chicago,Illinois,60643,10238,S,GREEN,ST,FALSE,FALSE,,,73,21,,N046,3,22,2232,45,,11,4,3,1172383.221,1836758.725,41.707512,-87.6443445,"(41.70751200093982, -87.64434450000192)"
SR25-00501051,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,3/29/2025 16:02,3/29/2025 16:02,,10301 S HOXIE AVE,Chicago,Illinois,,10301,S,HOXIE,AVE,FALSE,FALSE,,,51,7,,V047,3,4,431,45,,16,7,3,1195168.38,1837188.833,41.7081617,-87.56089186,"(41.70816169902767, -87.56089186182713)"
SR24-01993522,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,10/28/2024 12:39,10/28/2024 12:39,,10335 S GREEN ST,Chicago,Illinois,60643,10335,S,GREEN,ST,FALSE,FALSE,,,73,21,,N047,3,22,2232,12,,12,2,10,1172554.04,1836143.508,41.70582,-87.643737,"(41.70582000093983, -87.64373700000192)"
SR24-02153290,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,11/25/2024 15:23,11/25/2024 15:23,,10336 S OGLESBY AVE,Chicago,Illinois,60617,10336,S,OGLESBY,AVE,FALSE,FALSE,,,51,7,,V047,3,4,434,45,,15,2,11,1193840.308,1836773.66,41.70705501,-87.5657688,"(41.70705500970602, -87.56576879570046)"
SR25-00474277,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,3/25/2025 13:10,3/25/2025 13:10,,10349 S SPAULDING AVE,Chicago,Illinois,60655,10349,S,SPAULDING,AVE,FALSE,FALSE,,,74,19,,H047,1,22,2211,30,,13,3,3,1156267.071,1835605.488,41.704686,-87.7033935,"(41.70468600093984, -87.70339350000194)"
SR25-00474307,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,3/25/2025 13:13,3/25/2025 13:13,,10353 S SPAULDING AVE,Chicago,Illinois,60655,10353,S,SPAULDING,AVE,FALSE,FALSE,,,74,19,,H047,1,22,2211,30,,13,3,3,1156268.636,1835559.585,41.70456,-87.703389,"(41.70456000093984, -87.70338900000192)"
SR25-00474343,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,3/25/2025 13:16,3/25/2025 13:16,,10359 S SPAULDING AVE,Chicago,Illinois,60655,10359,S,SPAULDING,AVE,FALSE,FALSE,,,74,19,,H047,1,22,2211,30,,13,3,3,1156271.333,1835526.808,41.70447,-87.70338,"(41.704470000939835, -87.70338000000191)"
SR25-00214453,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,2/9/2025 15:41,2/9/2025 15:41,,10414 S STATE ST,Chicago,Illinois,60628,10414,S,STATE,ST,FALSE,FALSE,,,49,9,,P047,1,5,512,18,,15,1,2,1177988.932,1835892.484,41.70501,-87.6238425,"(41.705010000939865, -87.6238425000019)"
SR25-00263769,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Mobile Device,2/18/2025 16:26,2/18/2025 16:26,,10436 S CORLISS AVE,,,,10436,S,CORLISS,AVE,FALSE,FALSE,,,50,9,,R047,1,5,512,1,,16,3,2,1183340.688,1835753.519,41.704506,-87.6042495,"(41.70450600093983, -87.6042495000019)"
SR25-00354993,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,3/6/2025 12:22,3/6/2025 12:22,,10449 S CALUMET AVE,Chicago,Illinois,60628,10449,S,CALUMET,AVE,FALSE,FALSE,,,49,9,,Q047,1,5,512,40,,12,5,3,1180510.93,1835559.187,41.704038,-87.6146175,"(41.70403800093984, -87.61461750000191)"
SR25-00397161,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,3/12/2025 16:48,3/12/2025 16:48,,1049 E 80TH ST,Chicago,Illinois,60619,1049,E,80TH,ST,FALSE,FALSE,,,44,8,,S041,3,6,631,54,,16,4,3,1184807.354,1852092.565,41.749308,-87.598368,"(41.749308000940026, -87.5983680000019)"
SR25-00307484,Vacant/Abandoned Building Complaint,BBK,Streets and Sanitation,DOB - Buildings,Open,Phone Call,2/26/2025 11:23,2/26/2025 11:23,,10512 S MAY ST,Chicago,Illinois,60643,10512,S,MAY,ST,FALSE,FALSE,,,73,21,,N047,3,22,2232,35,,11,4,2,1170544.343,1834966.488,41.702634,-87.6511305,"(41.70263400093981, -87.6511305000019)"
SR25-00216995,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,2/10/2025 9:49,2/10/2025 9:49,,10543 S WABASH AVE,Chicago,Illinois,60628,10543,S,WABASH,AVE,FALSE,FALSE,,,49,9,,Q047,1,5,512,29,,9,2,2,1178519.489,1834889.987,41.702247,-87.62193,"(41.70224700093981, -87.62193000000191)"
SR25-00438334,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,3/19/2025 8:33,3/19/2025 8:33,,10558 S WENTWORTH AVE,Chicago,Illinois,60628,10558,S,WENTWORTH,AVE,FALSE,FALSE,,,49,21,,P047,1,5,512,4,,8,4,3,1176753.793,1834704.923,41.701779,-87.628401,"(41.70177900093983, -87.6284010000019)"
SR24-01957836,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Mobile Device,10/22/2024 10:24,10/22/2024 10:24,,1059 W 65TH ST,,,,1059,W,65TH,ST,FALSE,FALSE,,,68,16,,N037,2,7,724,24,,10,3,10,1170121.579,1861674.675,41.77593417,-87.65190417,"(41.775934171822804, -87.65190417088462)"
SR25-00164198,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,1/31/2025 14:06,1/31/2025 14:06,,10618 S STATE ST,Chicago,Illinois,60628,10618,S,STATE,ST,TRUE,FALSE,,SR24-02291405,49,9,,P047,1,5,512,18,,14,6,1,1178065.842,1834463.161,41.701086,-87.623604,"(41.701086000939824, -87.6236040000019)"
SR25-00281150,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,2/21/2025 13:40,2/21/2025 13:40,,10639 S WABASH AVE,Chicago,Illinois,60628,10639,S,WABASH,AVE,FALSE,FALSE,,,49,9,,Q047,1,5,512,29,,13,6,2,1178540.612,1834267.016,41.700537,-87.6218715,"(41.700537000939796, -87.62187150000192)"
SR24-02329095,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,12/30/2024 12:19,12/30/2024 12:19,,10740 S FOREST AVE,Chicago,Illinois,60628,10740,S,FOREST,AVE,FALSE,FALSE,,,49,9,,Q048,1,5,513,32,,12,2,12,1180081.99,1833646.814,41.6988,-87.6162465,"(41.6988000009398, -87.61624650000192)"
SR25-00071970,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,1/14/2025 12:43,1/14/2025 12:43,,10747 S MICHIGAN AVE,Chicago,Illinois,60628,10747,S,MICHIGAN,AVE,FALSE,FALSE,,,49,9,,Q048,1,5,513,34,,12,3,1,1178880.541,1833584.366,41.698656,-87.6206475,"(41.6986560009398, -87.62064750000194)"
SR25-00106156,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,1/21/2025 10:23,1/21/2025 11:00,,10749 S CHAMPLAIN AVE,Chicago,Illinois,60628,10749,S,CHAMPLAIN,AVE,FALSE,FALSE,,,50,9,,R048,1,5,513,8,,10,3,1,1182598.513,1833703.978,41.698899,-87.6070305,"(41.69889900093982, -87.6070305000019)"
SR25-00361106,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,3/7/2025 10:37,3/7/2025 10:37,,10751 S MICHIGAN AVE,Chicago,Illinois,60628,10751,S,MICHIGAN,AVE,TRUE,FALSE,,SR25-00169865,49,9,,Q048,1,5,513,34,,10,6,3,1178947.445,1833519.325,41.698476,-87.6204045,"(41.698476000939756, -87.62040450000191)"
SR25-00431240,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,3/18/2025 9:01,3/18/2025 9:01,,10816 S INDIANA AVE,Chicago,Illinois,60628,10816,S,INDIANA,AVE,FALSE,FALSE,,,49,9,,Q048,1,5,513,34,,9,3,3,1179485.428,1833202.35,41.69759394,-87.61844432,"(41.69759393865213, -87.61844431764085)"
SR25-00342914,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,3/4/2025 15:50,3/4/2025 15:51,,10841 S KEDZIE AVE,Chicago,Illinois,60655,10841,S,KEDZIE,AVE,FALSE,FALSE,,,74,19,,I048,1,22,2211,29,,15,3,3,1157010.852,1832383.753,41.69583,-87.7007565,"(41.695830000939786, -87.70075650000193)"
SR25-00314366,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,2/27/2025 11:47,2/27/2025 11:47,,10958 S TORRENCE AVE,Chicago,Illinois,60617,10958,S,TORRENCE,AVE,FALSE,FALSE,,,51,10,,V048,3,4,434,13,,11,5,2,1195566.961,1832748.105,41.69596607,-87.55957837,"(41.69596607257631, -87.55957837216266)"
SR25-00148682,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,1/29/2025 5:46,1/29/2025 5:46,,1108 E 83RD ST,Chicago,Illinois,60619,1108,E,83RD,ST,FALSE,FALSE,,,45,8,,S041,1,4,411,48,,5,4,1,1185149.647,1850265.386,41.744286,-87.597171,"(41.74428600093999, -87.59717100000191)"
SR25-00395542,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Mobile Device,3/12/2025 13:57,3/12/2025 13:57,,111 W 107TH ST,,,,111,W,107TH,ST,FALSE,FALSE,,,49,9,,P048,1,5,513,39,,13,4,3,1177337.713,1833935.698,41.699655,-87.626286,"(41.69965500093981, -87.6262860000019)"
SR25-00439891,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,3/19/2025 11:59,3/19/2025 11:59,,1114 N WALLER AVE,Chicago,Illinois,60651,1114,N,WALLER,AVE,FALSE,FALSE,,,25,29,,B020,1,15,1511,27,,11,4,3,1138075.554,1906933.847,41.900769,-87.7682925,"(41.90076900094051, -87.7682925000019)"
SR25-00460035,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Mobile Device,3/22/2025 18:06,3/22/2025 18:06,,11146 S NORMAL AVE,,,,11146,S,NORMAL,AVE,FALSE,FALSE,,,49,21,,O049,3,22,2233,41,,18,7,3,1174889.364,1830777.05,41.691042,-87.6353445,"(41.691042000939795, -87.63534450000192)"
SR25-00235162,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,2/13/2025 8:01,2/13/2025 8:01,,11147 S PEORIA ST,Chicago,Illinois,60643,11147,S,PEORIA,ST,FALSE,FALSE,,,75,21,13,N049,3,22,2233,43,,8,5,2,1172385.861,1830743.778,41.691006,-87.644511,"(41.69100600093981, -87.64451100000191)"
SR25-00126580,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,1/24/2025 17:07,1/24/2025 17:07,,11147 S PEORIA ST,Chicago,Illinois,60643,11147,S,PEORIA,ST,FALSE,FALSE,,,75,21,,N049,3,22,2233,43,,17,6,1,1172385.861,1830743.778,41.691006,-87.644511,"(41.69100600093981, -87.64451100000191)"
SR24-02330310,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,12/30/2024 14:15,12/30/2024 14:15,,1116 W MARQUETTE RD,Chicago,Illinois,60621,1116,W,MARQUETTE,RD,FALSE,FALSE,,,68,16,,N037,2,7,724,30,,14,2,12,1169932.362,1860445.035,41.772564,-87.6526335,"(41.77256400094007, -87.65263350000191)"
SR25-00147861,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Mobile Device,1/28/2025 19:40,1/28/2025 19:40,,1120 W 19TH ST,,,,1120,W,19TH,ST,FALSE,FALSE,,,31,25,,N026,3,12,1235,12,,19,3,1,1169300.488,1891151.699,41.85684,-87.65406,"(41.856840000940366, -87.65406000000189)"
SR25-00147860,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Mobile Device,1/28/2025 19:40,1/28/2025 19:40,,1120 W 19TH ST,,,,1120,W,19TH,ST,FALSE,FALSE,,,31,25,,N026,3,12,1235,12,,19,3,1,1169300.488,1891151.699,41.85684,-87.65406,"(41.856840000940366, -87.65406000000189)"
SR24-01827658,Vacant/Abandoned Building Complaint,BBK,DOB - Buildings,DOB - Buildings,Open,Phone Call,9/30/2024 8:54,9/30/2024 8:54,,1120 W MARQUETTE RD,Chicago,Illinois,60621,1120,W,MARQUETTE,RD,FALSE,FALSE,,,68,16,,N037,2,7,724,30,,8,2,9,1169901.726,1860438.233,41.772546,-87.652746,"(41.77254600094006, -87.65274600000191)"
SR25-00063860,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,1/13/2025 10:38,1/13/2025 10:40,,11234 S INDIANA AVE,Chicago,Illinois,60628,11234,S,INDIANA,AVE,FALSE,FALSE,,,49,9,,Q049,3,5,531,43,,10,2,1,1179497.368,1830342.561,41.689746,-87.6184875,"(41.68974600093977, -87.61848750000192)"
SR25-00296378,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,2/24/2025 16:09,2/24/2025 16:09,,11257 S VERNON AVE,Chicago,Illinois,60628,11257,S,VERNON,AVE,FALSE,FALSE,,,49,9,,R049,3,5,531,43,,16,2,2,1181333.639,1830210.283,41.689341,-87.611769,"(41.68934100093978, -87.6117690000019)"
SR25-00224360,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,2/11/2025 11:58,2/11/2025 11:58,,11303 S EDBROOKE AVE,Chicago,Illinois,60628,11303,S,EDBROOKE,AVE,FALSE,FALSE,,,49,9,,Q049,3,5,531,31,,11,3,2,1179282.646,1829999.69,41.68881,-87.619284,"(41.688810000939746, -87.61928400000193)"
SR24-01979466,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,10/25/2024 12:49,10/25/2024 12:49,,11328 S CHAMPLAIN AVE,Chicago,Illinois,60628,11328,S,CHAMPLAIN,AVE,FALSE,FALSE,,,50,9,,R049,3,5,531,37,,12,6,10,1182532.372,1829885.824,41.688423,-87.6073905,"(41.68842300093974, -87.6073905000019)"
SR24-02267347,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,12/17/2024 15:21,12/17/2024 15:21,,11340 S WALLACE ST,Chicago,Illinois,60628,11340,S,WALLACE,ST,FALSE,FALSE,,,49,21,,O049,3,22,2233,23,,15,3,12,1174260.419,1829512.558,41.687586,-87.6376845,"(41.68758600093977, -87.63768450000191)"
SR24-01958634,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,10/22/2024 12:05,10/22/2024 12:05,,11352 S LAFLIN ST,Chicago,Illinois,60643,11352,S,LAFLIN,ST,FALSE,FALSE,,,75,21,,M049,3,22,2234,29,,12,3,10,1168059.987,1829237.007,41.686965,-87.6603915,"(41.686965000939765, -87.66039150000192)"
SR25-00334291,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Mobile Device,3/3/2025 12:00,3/3/2025 12:01,,11352 S WENTWORTH AVE,,,,11352,S,WENTWORTH,AVE,FALSE,FALSE,,,49,9,,P049,2,5,522,53,,12,2,3,1176900.065,1829448.749,41.687352,-87.628023,"(41.68735200093976, -87.6280230000019)"
SR25-00088459,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,1/17/2025 9:54,1/17/2025 9:54,,1140 W 103RD ST,Chicago,Illinois,60643,1140,W,103RD,ST,FALSE,FALSE,,,73,21,,N046,3,22,2232,25,,9,6,1,1170337.443,1836575.181,41.707053,-87.6518415,"(41.707053000939844, -87.65184150000192)"
SR25-00112384,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,1/22/2025 11:02,1/22/2025 11:02,,11407 S FOREST AVE,Chicago,Illinois,60628,11407,S,FOREST,AVE,FALSE,FALSE,,,49,9,,Q049,3,5,531,46,,11,4,1,1180363.611,1829349.453,41.687001,-87.6153465,"(41.68700100093977, -87.6153465000019)"
SR25-00425174,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Alderman's Office,3/17/2025 10:55,3/17/2025 10:55,,1141 E 94TH ST,Chicago,Illinois,60619,1141,E,94TH,ST,FALSE,FALSE,,,47,8,,S044,1,4,413,33,,10,2,3,1185672.451,1842860.9,41.723955,-87.595488,"(41.723955000939874, -87.5954880000019)"
SR24-02309399,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,12/26/2024 11:29,12/26/2024 11:29,,11425 S WATKINS AVE,Chicago,Illinois,60643,11425,S,WATKINS,AVE,FALSE,FALSE,,,75,21,,L049,3,22,2234,19,,11,5,12,1166649.361,1828694.722,41.685507,-87.665571,"(41.68550700093974, -87.66557100000192)"
SR25-00495494,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Mobile Device,3/28/2025 13:56,3/28/2025 13:56,,1143 N LAWNDALE AVE,,,,1143,N,LAWNDALE,AVE,FALSE,FALSE,,,23,36,,G020,1,11,1112,24,,13,6,3,1151557.262,1907554.576,41.902218,-87.7187565,"(41.902218000940515, -87.71875650000192)"
SR25-00489893,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,3/27/2025 15:47,3/27/2025 15:47,,11446 S HOMEWOOD AVE,Chicago,Illinois,60643,11446,S,HOMEWOOD,AVE,FALSE,FALSE,,,75,19,,L049,1,22,2212,17,,15,5,3,1165219.513,1828565.614,41.685183,-87.670809,"(41.685183000939716, -87.67080900000191)"
SR25-00054882,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,1/11/2025 12:02,1/11/2025 12:02,,11451 S MICHIGAN AVE,Chicago,Illinois,60628,11451,S,MICHIGAN,AVE,TRUE,FALSE,,SR24-02273094,49,9,,Q049,3,5,531,31,,12,7,1,1178968.012,1828806.55,41.685543,-87.620472,"(41.68554300093973, -87.6204720000019)"
SR24-02273094,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,12/18/2024 14:39,1/11/2025 12:02,,11451 S MICHIGAN AVE,Chicago,Illinois,60628,11451,S,MICHIGAN,AVE,FALSE,FALSE,,,49,9,,Q049,3,5,531,31,,14,4,12,1178968.012,1828806.55,41.685543,-87.620472,"(41.68554300093973, -87.6204720000019)"
SR24-02266195,Vacant/Abandoned Building Complaint,BBK,Streets and Sanitation,DOB - Buildings,Open,Phone Call,12/17/2024 13:29,12/17/2024 13:30,,11518 S ADA ST,Chicago,Illinois,60643,11518,S,ADA,ST,FALSE,FALSE,,,53,21,,M050,2,5,524,1,,13,3,12,1169321.322,1828279.387,41.68431,-87.6558015,"(41.68431000093976, -87.6558015000019)"
SR24-02266089,Vacant/Abandoned Building Complaint,BBK,Streets and Sanitation,DOB - Buildings,Open,Phone Call,12/17/2024 13:17,12/17/2024 13:17,,11518 S ADA ST,Chicago,Illinois,60643,11518,S,ADA,ST,FALSE,FALSE,,,53,21,,M050,2,5,524,1,,13,3,12,1169321.322,1828279.387,41.68431,-87.6558015,"(41.68431000093976, -87.6558015000019)"
SR24-02046388,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Alderman's Office,11/6/2024 11:52,11/6/2024 11:52,,1152 E 93RD ST,Chicago,Illinois,60619,1152,E,93RD,ST,FALSE,FALSE,,,47,8,,S044,1,4,413,33,,11,4,11,1185744.33,1843580.905,41.72592909,-87.5952021,"(41.72592908511177, -87.59520209926335)"
SR24-01925370,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Alderman's Office,10/16/2024 13:15,10/16/2024 13:15,,1152 E 93RD ST,Chicago,Illinois,60619,1152,E,93RD,ST,FALSE,FALSE,,,47,8,,S044,1,4,413,33,,13,4,10,1185744.33,1843580.905,41.72592909,-87.5952021,"(41.72592908511177, -87.59520209926335)"
SR25-00161661,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Mobile Device,1/31/2025 9:33,1/31/2025 9:33,,11525 S ASHLAND AVE,,,,11525,S,ASHLAND,AVE,FALSE,FALSE,,,53,21,,M050,2,5,524,7,,9,6,1,1167838.426,1828172.661,41.684049,-87.661233,"(41.68404900093976, -87.66123300000191)"
SR24-02273589,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,12/18/2024 15:30,12/18/2024 15:31,,11526 S FRONT AVE,Chicago,Illinois,60628,11526,S,FRONT,AVE,FALSE,FALSE,,,53,9,,R050,3,5,532,28,,15,4,12,1181077.693,1828479.731,41.684598,-87.612759,"(41.68459800093975, -87.61275900000192)"
SR25-00039147,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,1/8/2025 14:32,1/8/2025 14:32,,11529 S PERRY AVE,Chicago,Illinois,60628,11529,S,PERRY,AVE,FALSE,FALSE,,,53,9,,P050,2,5,522,9,,14,4,1,1177786.408,1828393.398,41.684436,-87.62481,"(41.684436000939726, -87.6248100000019)"
